local_account,local_label,code_i,code_ii,code_iii
60680000,ACHATS MAT&FOURNITURES BOUTIQUES,FW,,
60710000,ACHATS DE MARCHANDISES,FS,,
60720000,ACHATS PAIRES A SICCA,FS,,
60740000,ACHATS PETITE MAROQUINERIE,FS,,
60750000,ACHATS MARCHANDISES LOAFER SHOES,FS,,
60760000,ACHATS MARCHANDISES SNEAKER,FS,,
61220100,CREDIT BAIL NATIOCREDIMURS,FW,,
61310000,LOCATIONS DIVERSES,FW,,
61311000,LOCATIONS DIVERSES MANUFACTURE,FW,,
61320000,LOCATIONS IMMOBILIERES,FW,,
61321000,LOCATIONS IMMOBILIERES MANUFACTURE,FW,,
61351000,LCT MACHINE CB,FW,,
61352000,LOCAT XEROX,FW,,
61353000,LOCATION LOGICIEL INTERNET,FW,,
61353100,LOCATION HEBERGEMENT INFORMAT. MANU,FW,,
61520000,ENTRETIEN IMMOBILIER,FW,,
61521000,ENTRETIEN IMMOBILIER MANUFACTURE,FW,,
61550000,ENTRETIEN ET REPARATIONS MANU,FW,,
61560000,MAINTENANCE INFORMATIQUE,FW,,
61561000,MAINTENANCE INFORMATIQUE MANU,FW,,
61600000,PRIMES D'ASSURANCE,FW,,
61610000,PRIMES D'ASSURANCES MANUFACTURE,FW,,
61700000,ETUDES ET RECHERCHES,FW,,
61800000,DOCUMENTATION,FW,,
61840000,FRAIS LIES AUX CENTRE.COM,FW,,
61850000,FRAIS COLLOC-SEMIN,FW,,
62110000,PERSONNEL INTERIMAIRE,FW,,
62111000,PERSONNEL INTERIMAIRE MANUFACTURE,FW,,
62140000,PERSONNEL DETACHE EXT,FW,,
62220000,COMMISSIONS / VENTES,FW,,
62221000,COMMISSIONS CONSULTANTS,FW,,
62245000,HONOS SUBVENTIUM,FW,,
62260100,HONO ANDRE DUMAS,FW,,
62261100,HONORAIRES DIVERS,FW,,
62261200,HONO ADVERTUS,FW,,
62262000,HONORAIRES AVOCATS,FW,,
62262200,HONORAIRES REED SMITH,FW,,
62262500,HONORAIRES BOROWSKY,FW,,
62263000,HONORAIRES CAC,FW,,
62263100,HONOS PROJECT SI (SAGE),FW,,
62263110,HONORAIRE PROJECT SI MANUFACTURE,FW,,
62263300,HONORAIRES COM TRADING,FW,,
62263800,HONOS KENNETH GOH,FW,,
62264000,HONOS FGS CONSEIL,FW,,
62264200,HONOS ROYERE ET DUBUS,FW,,
62264300,HONOS EUROPE CONSULTANTS,FW,,
62265000,HONO H2G CONSEILS,FW,,
62267000,HONORAIRES CONSULTANTS,FW,,
62268000,HONORAIRES CONSULTANT MANUFACTURE,FW,,
62270000,FRAIS ACTES ET CONT.,FW,,
62280000,SERVICES EXTERIEURS,FW,,
62300000,COMMUNICATION,FW,,
62305050,HONO RYAN CHARLES,FW,,
62310000,EXPOSITION FOIRE SALON,FW,,
62311000,ANNONCES & INSERTIONS,FW,,
62320000,HONO AMENAGEMENT BOUTIQUE,FW,,
62340000,CADEAUX A LA CLIENTELE,FW,,
62350000,COMMUNIC. / RELAT PRESSE,FW,,
62350200,HONOS CREATIV 18,FW,,
62360000,CATALOGUES & IMPRIMES,FW,,
62410000,TRANSP / ACHATS MANUFACTURE,FW,,
62411000,TRANSP/ACHAT MANUF SLG,FW,,
62412000,TRANSP/ACHAT MANUF SANDALES,FW,,
62413000,TRANSP/ACHAT MANUF LOAFER,FW,,
62414000,TRANSP/ACHAT MANUF SNEAKERS,FW,,
62415000,TRANSP/ACHAT MANUF LG,FW,,
62416000,TRANSP/ACHAT MANUF CEINTURES,FW,,
62421000,TRANSPORTS/VENTES MANUFACTURE,FW,,
62422000,FRAIS DE TRANSPORT,FW,,
62430000,FRAIS COURSIERS,FW,,
62510000,DEPLACEMENT,FW,,
62511000,DEPLACEMENT CONSULTANTS MANUFACTURE,FW,,
62512000,DEPLACEMENT CONSULTANT EXTERNE,FW,,
62513000,VOYAGES ET DEPLACMENTS MANUFACTURE,FW,,
62530000,HOTEL,FW,,
62570000,RECEPTIONS,FW,,
62571000,CORTHAY EXCELLENCE RUN,FW,,
62572000,RECEPTION MANUFACTURE,FW,,
62600000,LA POSTE,FW,,
62601000,LA POSTE MANUFACTURE,FW,,
62610000,FRAIS TELEPHONE,FW,,
62611000,FRAIS DE TELEPHONE MANUFACTURE,FW,,
62700000,SERVICES BANCAIRES ET ASS,FW,,
62701000,COMMISSION CB,FW,,
62702000,COMMISSION AMEX,FW,,
62800000,COTISATIONS DIVERSES,FW,,
62801000,COTISATIONS DIVERSES MANUFACTURE,FW,,
62810000,AUTRES SERVICES EXTERIEURS,FW,,
62840000,FRAIS DE RECRUTEMENT,FW,,
62841000,FRAIS DE RECRUTEMENT MANUF,FW,,
63120000,TAXE APPRENTISSAGE,FX,,
63121000,TAXE APPRENTISSAGE MANUFACTURE,FX,,
63330000,FORMATION CONTINUE,FX,,
63331000,FORMATION CONTINUE MANUFACTURE,FX,,
63340000,EFFORT DE CONSTRUCTION,FX,,
63341000,EFFORT DE CONSTRUCTION MANUFACTURE,FX,,
63511000,CONTRIBUTION ECO TERRITORIALE,FX,,
63512000,TAXE FONCIERE,FX,,
63512100,TAXE FONCIERE MANUFACTURE,FX,,
63513000,TAXE SUR BUREAUX,FX,,
63514000,TVTS MANUFACTURE,FX,,
63520000,CFE,FX,,
63521000,CFE MANUFACTURE,FX,,
63540000,DROITS D'ENREGISTREMENT ET DE TIMBR,FX,,
63580000,DROIT DE DOUANES,FX,,
63581000,DROIT DE DOUANES MANUFACTURE,FX,,
63720000,CTC,FX,,
63780000,TAXES HANDICAPEES,FX,,
63781000,TAXES HANDICAPEES MANUFACTURE,FX,,
63782000,TAXES DIVERSES,FX,,
63783000,TAXES DIVERSES MANUF,FX,,
64110000,REMUNERATION ADMINISTRAT,FY,,
64120000,REMUNERATION MANUFACTURE,FY,,
64130000,REMUNERATION VENDEUR,FY,,
64131000,COMMISSION VENDEUR,FY,,
64132000,PRIME ET BONUS,FY,,
64133000,PRIME ET BONUS MANUF,FY,,
64140000,IND TRANSPORT IDF,FY,,
64141000,INDEMNITE CHOMAGE PARTIEL,FY,,
64142000,INDEMNITE CHOMAGE PARTIEL MANUF,FY,,
64150000,INDEMNITES ET AVANTAGES DIVERS,FY,,
64151000,INDEMNITE ET AVANTAGES MANUFACTURE,FY,,
64160000,CONGES PAYES VOLNEY,FY,,
64165000,CONGES PAYES MANUFACTURE,FY,,
64510000,URSSAF,FZ,,
64511000,URSSAF MANUFACTURES,FZ,,
64520000,COTISATION MUTUELLE,FZ,,
64521000,COTISATION MUTUELLE MANUF,FZ,,
64530000,CAISSE DE RETRAITE,FZ,,
64531000,RETRAITE MANUFACTURE,FZ,,
64560000,PREVOYANCE,FZ,,
64561000,PREVOYANCE MANUFACTURES,FZ,,
64750000,MEDECINE DE TRVAIL,FZ,,
64751000,MEDECINE DE TRAVAIL MANUFACTURE,FZ,,
64800000,STAGIAIRE,FZ,,
64801000,AUTRE CHARGES DE PERSONNEL MANUF,FZ,,
64810000,STAGIAIRE PRIME GRA MANUFACTURE,FZ,,
64820000,CHARGES SOCIALES / CP,FZ,,
64821000,CHARGES SOCIALES /CP MANUFACTURES,FZ,,
64860000,CHARGES SUR PROVISION PRIMES,FZ,,
64861000,CHARGES PROV PRIME MANUF,FZ,,
64900000,CICE,FZ,,
64910000,CICE MANUFACTURE,FZ,,
64920000,AIDE AU REGLT COTIS URSSAF,FZ,,
64921000,AIDE AU REGLT COTIS MANUF,FZ,,
64931000,REMB. DE CHARGES DE PERSONNEL,FZ,,
64931100,REMB. CHARGES DE PERSONNEL MANUF,FZ,,
65100000,NOM DE DOMAINE,GE,,
65160000,DROITS D'AUTEUR ET REPRODUCTION,GE,,
65400000,PERTES CREANCES IRRECOUVRABLES,GE,,
65410000,CREANCES IRRECOUVRABLES-FILIALES,GE,,
65800000,CHARGES DIV.GEST.COURANTE,GE,,
66150000,INTERETS DES COMPTES COURANTS,GR,,
66160000,CHARGES D'INTERETS,GR,,
66180000,PRIMES COFACE,GR,,
66181000,INTERETS DE RETARD CREANCE COM,GR,,
66400000,PERTES CREANCES PARTICIPTATIONS,GR,,
66500000,ESCOMPTES ACCORDES,GR,,
66600000,PERTES DE CHANGE,GS,,
67120000,PENALITES AMENDES,HE,,
67130000,DONS,HE,,
67180000,CHARGES EXCEP./OP.GESTION,HE,,
67200000,CHARGES EX ANTERIEUR,HE,,
67500000,CESSION NET D'ACTIF IMMOBILISE,HF,,
67520000,CESSION NET D'ACTIF IMMOBILISE,HF,,
67560000,VC DES ELEMENTS D'ACTIF CEDES,HF,,
68111000,DAP IMMO INCORPORELLES,GA,,
68111100,DAP IMMO INCORPORELLES MANUFACTURE,GA,,
68112000,DAP IMMO CORPORELLES,GA,,
68113000,DAP IMMO CORPORELLES MANUFACTURE,GA,,
68113100,DAP IMMO CORP. MANUF OUTLS PROD SAC,GA,,
68113200,DAP IMMO C. MANUFS PROD CEINTURES,GA,,
68150000,DAP POUR RISQUES & CHARGES EXPLOIT,GD,,
68173000,PROV. DEPR. DES STOCKS,GC,FP,
68174000,PROVISION DEPREC CLIENTS,GC,FP,
68662000,PROV. DEPREC. IMMO. FINANCIERES,GQ,GK,
68711100,DAP EXCEPTIONELLE IMMOS CORPORELLES,HG,,
69910000,CREDIT IMPOTS RECHERCHE,HK,,
69920000,CREDIT IMPOTS APPRENTISSAGE,HK,,
70100000,VENTES VOLNEY,FD,,
70100001,VENTES VOLNEY CS,FD,,
70100010,VENTES VOLNEY CEINTURE,FD,,
70100020,VENTES VOLNEY SLG,FD,,
70100030,VENTES MAROQUINERIE VOLNEY,FD,,
70100200,VENTES DISTRIB. FR,FD,,
70101100,VT E-SHOP UE,FE,,
70104000,VENTES VOLNEY EXPORT,FE,,
70104010,VENTES VOLNEY EXPORT CEINTURES,FE,,
70104100,VTE E-SHOP EXPORT,FE,,
70104110,VTE E-SHOP CEINTURES EXPORT,FE,,
70104200,VENTES DISTRIB. EXPORT,FE,,
70104210,VENTES CEINTURE DISTRIBUTEUR EXPORT,FE,,
70104300,VENTES MAGE HK,FE,,
70104310,VENTES CEINTURE MAGE HK,FE,,
70104400,VENTES MAGE JAPON,FE,,
70104410,VENTES CEINTURE MAGE JAPON,FE,,
70104500,VENTES ARDILLAT LTD,FE,,
70104510,VENTES BELTS ARDILLAT LTD,FE,,
70110000,VENTES BOUTIQUE VOLNEY-MAGE CHINE,FE,FF,FE
70110003,VTE VOLNEY PF PETITE MARO,FD,FF,FD
70111000,VENTE VOLNEY 20%,FD,FF,FD
70111001,VENTE VOLNEY CS 20%,FD,FF,FD
70111002,VENTE VOLNEY CEINTURE,FD,FF,FD
70111004,VENTES MAROQUINERIE VOLNEY,FD,FF,FD
70111100,VENTES PRIVEE VOLNEY,FD,FF,FD
70112000,VENTE LE BON MARCHE,FD,FF,FD
70113000,VENTES GALERIES LAFAYETTE,FD,FF,FD
70113001,VENTES CEINTURES GALERIES LAFAYETTE,FD,FF,FD
70114000,VENTES VOLNEY EXPORT,FE,FF,FE
70114001,VENTE CS VOLNEY EXPORT,FE,FF,FE
70114002,VENTES CEINTURES VOLNEY EXPORT,FE,FF,FE
70114003,VTE VOLNEY PF PETITE MARO EXPORT,FE,FF,FE
70114004,VENTE MAROQUINERIE VOLNEY EXPORT,FE,FF,FE
70115000,VTE E-SHOP,FD,FF,FF
70115002,VENTES CEINTURES E-SHOP,FD,FF,FD
70115003,VENTES PETITE MARO E-SHOP,FD,FF,FD
70115100,VENTES E-SHOP UE,FE,,
70115202,VTE E-SHOP CEINTURES UE,FE,FF,FE
70115400,VENTES E-SHOP EXPORT,FE,FF,FE
70115402,VTE E-SHOP CEINTURES EXPORT,FE,FF,FE
70115403,VTE E-SHOP PETITE MARO EXPORT,FE,FF,FE
70115404,VENTES MAROQUINERIE E-SHOP EXPORT,FE,,
70120000,VENTES DISTRIBUTEURS FRANCE,FD,FF,FD
70121000,VENTES CEINTURES DISTRIB  EXPORT,FE,FF,FE
70122000,VENTES CEINTURES DISTRIBUTEURS CEE,FE,FF,FE
70123000,VENTE CEINTURES DISTRIBUTEURS FRANC,FD,FF,FD
70124000,VENTES PETITE MARO. DISTRIB. EXPORT,FE,FF,FE
70127000,VENTES MAROQUINERIE DISTRIB EXP,FE,FF,FE
70128000,VENTES DISTRIBUTEURS CEE,FE,FF,FE
70129000,VENTES DISTRIBUTEURS EXPORT,FE,FF,FE
70151000,VENTES MAGE JAPON,FE,FF,FE
70151100,VENTES CEINTURES MAGE JAPON,FE,FF,FE
70151200,VENTES PF PETITE MARO. JAPON,FE,FF,FE
70151300,VENTES MAROQUINERIE JAPON,FE,FF,FE
70152000,VENTES CORTHAY UK,FE,FF,FE
70152100,VENTE CEINTURE UK,FE,FF,FE
70152200,VENTE PF PETITE MARO. UK,FE,FF,FE
70152300,VENTES MAROQUNERIE UK,FE,FF,FE
